"filename", "language", "YAML", "C++", "Swift", "Dart", "JSON", "XML", "comment", "blank", "total"
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 16, 3, 1, 20
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\assets\Lottie1.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\bloc\basket\basket_bloc.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\bloc\basket\basket_state.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\bloc\comment\comment_bloc.dart", "Dart", 0, 0, 0, 19, 0, 0, 0, 4, 23
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\bloc\comment\comment_event.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\bloc\comment\comment_state.dart", "Dart", 0, 0, 0, 12, 0, 0, 0, 6, 18
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\bloc\product\product_bloc.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\bloc\product\product_state.dart", "Dart", 0, 0, 0, -3, 0, 0, 0, 0, -3
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\datasource\basket_datasource.dart", "Dart", 0, 0, 0, 15, 0, 0, 0, 1, 16
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\datasource\comment_datasource.dart", "Dart", 0, 0, 0, 43, 0, 0, 0, 5, 48
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\datasource\product_detail_datasource.dart", "Dart", 0, 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\model\comment.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 3, 25
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\repository\basket_repository.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\repository\comment_repository.dart", "Dart", 0, 0, 0, 32, 0, 0, 0, 5, 37
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\data\repository\product_detail_repository.dart", "Dart", 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\di\di.dart", "Dart", 0, 0, 0, 6, 0, 0, 1, 12, 19
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\main.dart", "Dart", 0, 0, 0, 42, 0, 0, 1, 5, 48
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\card_screen.dart", "Dart", 0, 0, 0, 31, 0, 0, -1, 2, 32
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\home_screen.dart", "Dart", 0, 0, 0, -2, 0, 0, 0, 0, -2
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\login_screen.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\product_detail_Screen.dart", "Dart", 0, 0, 0, 326, 0, 0, -81, 6, 251
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\product_list_screen.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\profile_screen.dart", "Dart", 0, 0, 0, -1, 0, 0, 0, 1, 0
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\screens\test_screen.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\util\extentions\double_extention.dart", "Dart", 0, 0, 0, 7, 0, 0, 0, 2, 9
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\util\extentions\string_extention.dart", "Dart", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\widgets\banner_slider.dart", "Dart", 0, 0, 0, 10, 0, 0, 9, 5, 24
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\widgets\loading_animatin.dart", "Dart", 0, 0, 0, 22, 0, 0, 0, 4, 26
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\lib\widgets\product_item.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\pubspec.yaml", "YAML", 10, 0, 0, 0, 0, 0, -1, 2, 11
"c:\Users\Sadaf-PC\AndroidStudioProjects\flutter_ecommerce_shop\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 6, 0, 0, 0, 0, 0, 0, 6
"Total", "-", 10, 14, 4, 658, 1, 16, -69, 73, 707